,Year,Country Name,International Tourism Expenditures (US$),International Tourism Receipts (US$),# of arrivals,# of departures,GDP (US$),Total Population
388,2017,Singapore,24588000000,19891000000,17425000,9889000,343272878686.388,5612253.0
387,2017,Sierra Leone,62000000,39000000,59000,110000,3719443317.52413,7677565.0
170,2016,Sierra Leone,36500000,41000000,60000,92000,3862721204.61052,7493913.0
604,2018,Sierra Leone,61000000,39000000,66000,112000,4085114542.06831,7861281.0
169,2016,Seychelles,92000000,505000000,333000,68000,1458954109.81959,94677.0
1037,2020,Seychelles,39000000,228000000,124500,19000,1183515397.64891,98462.0
603,2018,Seychelles,101000000,611000000,405000,72000,1587813245.28225,96762.0
820,2019,Seychelles,109000000,618000000,428000,76000,1645090567.04612,97625.0
386,2017,Seychelles,104000000,585000000,382000,74000,1529773286.49646,95843.0
600,2018,Saudi Arabia,17939000000,16974000000,17570000,27425000,846583785179.856,35018133.0
817,2019,Saudi Arabia,16415000000,19849000000,20292000,27196000,838564705624.643,35827362.0
166,2016,Saudi Arabia,17671000000,13438000000,20887000,27618000,665999879694.192,33416270.0
383,2017,Saudi Arabia,19065000000,15020000000,18607000,28748000,714994694991.651,34193122.0
597,2018,Samoa,4099999.90463257,192300003.051758,172000,64000,878448439.453724,209701.0
380,2017,Samoa,3900000.09536743,167000000,158000,55000,884844419.778891,207630.0
814,2019,Samoa,5199999.80926514,206100006.103516,181000,69000,912950619.371868,211905.0
1031,2020,Samoa,1799999.95231628,23059999.4659424,23899.9996185303,18500,868898350.356664,214929.0
1029,2020,Russian Federation,10800000000,4961000000,6359000,12361000,1493075887459.81,144073139.0
378,2017,Russian Federation,35584000000,14938000000,24390000,39629000,1574199355092.71,144496739.0
161,2016,Russian Federation,27654000000,12822000000,24571000,31659000,1276786344534.27,144342397.0
595,2018,Russian Federation,38791000000,18735000000,24551000,41964000,1657328764645.93,144477859.0
812,2019,Russian Federation,40611000000,17235000000,24419000,45330000,1693114993990.49,144406261.0
160,2016,Romania,2910000000,2474000000,10223000,16128000,185287615324.922,19702267.0
1028,2020,Romania,3472000000,1611000000,5023000,9510000,251362534092.315,19265250.0
377,2017,Romania,4955000000,3553000000,10926000,19953000,210147181055.277,19588715.0
811,2019,Romania,7172000000,4240000000,12815000,23066000,251017797625.017,19371648.0
594,2018,Romania,6109000000,3879000000,11720000,21039000,243316050520.725,19473970.0
158,2016,Puerto Rico,1059000000,3974000000,5003000,789000,104336700000,3406672.0
375,2017,Puerto Rico,1072000000,3868000000,4927000,792000,103445500000,3325286.0
157,2016,Portugal,4707000000,17347000000,13359000,1941000,206426152308.937,10325452.0
591,2018,Portugal,6427000000,24366000000,16186000,2486000,242313116577.963,10283822.0
808,2019,Portugal,6823000000,24592000000,17283000,3100000,239986922638.897,10286263.0
1025,2020,Portugal,3536000000,10522000000,4208000,680000,229031860520.773,10297081.0
374,2017,Portugal,5509000000,21586000000,15432000,2195000,221357874718.932,10300300.0
156,2016,Poland,8509000000,11922000000,80476000,44500000,470024559638.496,37970087.0
590,2018,Poland,10367000000,15569000000,85946000,48600000,588779850763.487,37974750.0
807,2019,Poland,10161000000,15712000000,88515000,50600000,596058473058.766,37965475.0
373,2017,Poland,9420000000,13925000000,83804000,46700000,524641206562.004,37974826.0
155,2016,Philippines,11681000000,6289000000,5967000,5703000,318627003965.989,104875266.0
1023,2020,Philippines,4872000000,2769000000,1483000,1483000,361751145432.404,112190977.0
805,2019,Peru,3627399902.34375,4703000000,5275000,3275000,228325852220.761,32824861.0
154,2016,Peru,2700000000,4288000000,4718000,2751000,191898127860.843,31132779.0
371,2017,Peru,2893000000,4439000000,4992000,2875000,211007952315.888,31605486.0
588,2018,Peru,3353000000,4505000000,5384000,3078000,222597030191.041,32203944.0
1022,2020,Peru,938000000,1002000000,1119000,791000,201947603715.409,33304756.0
804,2019,Paraguay,552000000,409000000,4368000,1192000,37925338460.1556,6530026.0
153,2016,Paraguay,512000000,356000000,4318000,1503000,36089550671.834,6266615.0
587,2018,Paraguay,549000000,393000000,4183000,1266000,40225448651.3062,6443328.0
1021,2020,Paraguay,226000000,104000000,1077000,214000,35432177936.3317,6618695.0
370,2017,Paraguay,545000000,399000000,4744000,1548000,38997129809.1697,6355404.0
1019,2020,Panama,601000000,1841000000,647000,401000,57086836942.4052,4294396.0
368,2017,Panama,1132000000,6827000000,2517000,869000,62202700000,4096063.0
585,2018,Panama,1395000000,7139000000,2487000,1020000,67294169234.6291,4165255.0
151,2016,Panama,1351000000,6283000000,2379000,1051000,57907700000,4026336.0
802,2019,Panama,1623000000,7052000000,2494000,1226000,69721787532.9789,4232532.0
582,2018,Oman,3210000000,2874000000,3242000,5975000,91505851755.5267,4601157.0
1016,2020,Oman,1236000000,669000000,869000,1657000,75909397659.2978,4543399.0
148,2016,Oman,2643000000,2324000000,3207000,5902000,75128738621.5865,4398070.0
365,2017,Oman,2915000000,2629000000,3178000,6368000,80856697009.1027,4541854.0
799,2019,Oman,3406000000,3077000000,3506000,6633000,88060858257.4772,4602768.0
364,2017,Norway,17489000000,6565000000,6252000,8170000,401745275035.261,5276968.0
798,2019,Norway,17683000000,7040000000,5879000,8890000,408742840909.091,5347896.0
147,2016,Norway,16384000000,6285000000,5960000,8030000,370956547619.048,5234519.0
581,2018,Norway,18307000000,7280000000,5688000,8110000,439788625883.8,5311916.0
1015,2020,Norway,4230000000,2196000000,1397000,1690000,367633418886.627,5379475.0
141,2016,New Zealand,4010000000,9773000000,3494000,2611000,188838342527.975,4714100.0
575,2018,New Zealand,4603000000,10961000000,3858000,3038000,211886686924.483,4900600.0
358,2017,New Zealand,4463000000,10594000000,3723000,2853000,206556258844.567,4813600.0
140,2016,New Caledonia,252000000,248000000,116000,134000,8724568970.67697,270220.0
356,2017,Netherlands,22301099609.375,21844699218.75,17924000,20763000,833869641687.068,17131296.0
139,2016,Netherlands,20188800781.25,19421800781.25,15828000,18152000,784060430240.101,17030314.0
573,2018,Netherlands,23359300781.25,23919099609.375,18780000,20981000,914043438179.591,17231624.0
790,2019,Netherlands,22547400390.625,23723900390.625,20129000,22045000,910194347568.61,17344874.0
355,2017,Nepal,886000000,712000000,940000,1197000,28971588880.8208,28183426.0
350,2017,Morocco,2829000000,9086000000,11540000,1849000,118540574727.552,35528115.0
1001,2020,Morocco,1509000000,4514000000,2802000,646000,121347533649.793,36688772.0
784,2019,Morocco,3102000000,9949000000,13109000,2009000,128920265075.525,36304408.0
133,2016,Morocco,2312000000,7922000000,10677000,1864000,111572946646.535,35107264.0
567,2018,Morocco,2987000000,9520000000,12489000,1923000,127341141871.205,35927511.0
997,2020,Moldova,303000000,354000000,29000,75000,11531967881.0624,2635130.0
780,2019,Moldova,479000000,527000000,174000,311000,11735774634.4239,2664224.0
346,2017,Moldova,380000000,442000000,145000,229000,9519053158.46404,2755189.0
563,2018,Moldova,438000000,500000000,160000,264000,11253727815.4762,2707203.0
129,2016,Moldova,334000000,344000000,121000,177000,7982450758.03213,2803186.0
127,2016,Mexico,12823000000,20619000000,94853000,97372000,1078493059306.95,121519221.0
995,2020,Mexico,4286000000,11449000000,51128000,36056000,1090514966785.91,125998302.0
561,2018,Mexico,14074000000,23802000000,96497000,86280000,1222405556421.13,124013861.0
344,2017,Mexico,13647000000,22467000000,99349000,94274000,1158912015259.01,122839258.0
778,2019,Mexico,12300000000,25847000000,97406000,82752000,1269009571610.76,125085311.0
994,2020,Mauritius,224000000,518000000,316000,65000,11401040995.9946,1266014.0
343,2017,Mauritius,738000000,2005000000,1371000,283000,13713505998.0391,1264887.0
777,2019,Mauritius,656000000,2024000000,1418000,320000,14436347115.2893,1265985.0
560,2018,Mauritius,663000000,2161000000,1431000,296000,14735695930.9727,1265577.0
126,2016,Mauritius,683000000,1824000000,1307000,260000,12594155346.298,1263747.0
551,2018,"Macao SAR, China",1941000000,41478000000,35804000,1780000,55284309690.2698,650991.0
985,2020,"Macao SAR, China",886000000,9442000000,5897000,125000,25459685019.548,676283.0
768,2019,"Macao SAR, China",2034000000,41166000000,39406000,1765000,55204960999.5882,663653.0
117,2016,"Macao SAR, China",1500000000,31155000000,30950000,1251000,45070807279.6288,626688.0
334,2017,"Macao SAR, China",1702000000,36595000000,32611000,1391000,50440935654.0075,638609.0
550,2018,Luxembourg,2872000000,5642000000,1018000,2510000,71000359760.4599,607950.0
116,2016,Luxembourg,2048000000,5606000000,1054000,1588000,62216885435.9505,582014.0
984,2020,Luxembourg,2458000000,4454000000,525000,1460000,73992591285.3017,630419.0
333,2017,Luxembourg,2607000000,5472000000,1046000,2346000,65712180342.9842,596336.0
767,2019,Luxembourg,3288000000,5645000000,1041000,2548000,69825641851.0104,620001.0
759,2019,Lao PDR,1029000000,974000000,4791000,2690000,18740559554.1632,7212053.0
976,2020,Lao PDR,260000000,227000000,886400.024414063,707000,18981800705.0794,7319399.0
542,2018,Lao PDR,1005000000,833000000,4186000,3207000,18141651381.3884,7105006.0
325,2017,Lao PDR,930000000,655000000,3869000,3049000,17071162084.4067,6997917.0
108,2016,Lao PDR,912099975.585938,717000000,4239000,3059000,15912495368.8717,6891363.0
324,2017,Kyrgyz Republic,422000000,480000000,4568000,4446000,7702938395.18458,6198200.0
107,2016,Kyrgyz Republic,582000000,477000000,3853000,4185000,6813095396.14317,6079500.0
758,2019,Kyrgyz Republic,519000000,708000000,8508000,5314000,8871019822.76098,6456200.0
541,2018,Kyrgyz Republic,451000000,518000000,6947000,6839000,8271106196.04253,6322800.0
104,2016,"Korea, Rep.",29817000000,20924000000,17242000,22383000,1500111596236.37,51217803.0
972,2020,"Korea, Rep.",16705000000,11776000000,2519000,4276000,1644312785467.12,51836239.0
755,2019,"Korea, Rep.",35339000000,25456000000,17503000,28714000,1651422932447.77,51764822.0
321,2017,"Korea, Rep.",34453000000,17173000000,13336000,26496000,1623901496835.79,51361911.0
538,2018,"Korea, Rep.",38022000000,23104000000,15347000,28696000,1724845615629.26,51585058.0
751,2019,Kazakhstan,2955000000,2922000000,8515000,10707000,181667185041.48,18513673.0
100,2016,Kazakhstan,2580000000,2038000000,6509000,9756000,137278320084.171,17794055.0
534,2018,Kazakhstan,2852000000,2651000000,8789000,10646000,179339977517.062,18276452.0
317,2017,Kazakhstan,2695000000,2356000000,7701000,10261000,166805788966.78,18037776.0
968,2020,Kazakhstan,861000000,589000000,2035000,2865000,171082365723.326,18755666.0
533,2018,Jordan,1493000000,6221000000,4922000,1501000,43370860704.2254,10459865.0
967,2020,Jordan,408000000,1745000000,1240000,406000,43579916197.1831,10928721.0
99,2016,Jordan,1367000000,4943000000,4236000,1511000,39892551126.7606,9964656.0
750,2019,Jordan,1569000000,6765000000,5361000,1537000,44503005774.6479,10698683.0
316,2017,Jordan,1496000000,5549000000,4565000,1592000,41608435915.493,10215381.0
98,2016,Japan,25968000000,33456000000,24039000,17116000,5003677627544.24,127076000.0
532,2018,Japan,28097000000,45276000000,31191000,18954000,5040880939324.86,126811000.0
749,2019,Japan,29146000000,49209000000,31881000,20081000,5117993853016.51,126633000.0
315,2017,Japan,25774000000,36978000000,28691000,17889000,4930837369151.42,126972000.0
966,2020,Japan,6741000000,11395000000,4115799.8046875,3174000,5048789595589.43,126261000.0
964,2020,Italy,12965000000,20459000000,38419000,21448000,1897210466667.52,59438851.0
530,2018,Italy,37644000000,51602000000,93228601.5625,61194601.5625,2091932426266.94,60421760.0
747,2019,Italy,37908000000,51910000000,95399000,62207000,2011302198827.41,59729081.0
96,2016,Italy,30584000000,42423000000,84925000,57480000,1877071687633.83,60627498.0
313,2017,Italy,34819000000,46719000000,89931000,60042000,1961796197354.37,60536709.0
529,2018,Israel,9975000000,8048000000,4389000,8473000,376691526553.276,8882800.0
95,2016,Israel,8210000000,6616000000,3070000,6781000,322102790386.835,8546000.0
312,2017,Israel,8985000000,7602000000,3863000,7597000,358245427458.541,8713300.0
746,2019,Israel,10389000000,8459000000,4905000,9179000,402470513619.148,9054000.0
93,2016,Ireland,6234000000,12649000000,10100000,7646000,299091127524.513,4755335.0
310,2017,Ireland,6616000000,14294000000,10338000,8171000,336377500160.549,4807388.0
527,2018,Ireland,7541000000,15276000000,10926000,8643000,385736680797.111,4867316.0
744,2019,Ireland,8156000000,14808000000,10951000,9350000,399321701632.424,4934340.0
91,2016,"Iran, Islamic Rep.",11142000000,4634000000,4942000,9007000,457954614595.24,83306231.0
308,2017,"Iran, Islamic Rep.",12568000000,4531000000,4867000,10543000,486630147094.69,84505076.0
525,2018,"Iran, Islamic Rep.",9271000000,5252000000,7295000,7243000,327900695065.853,85617562.0
307,2017,Indonesia,10945000000,14691000000,14040000,8856000,1015618744168.15,264498852.0
90,2016,Indonesia,9932000000,12566000000,11519000,8340000,931877364033.902,261850182.0
741,2019,Indonesia,14449000000,18405000000,16107000,11689000,1119099871386.16,269582878.0
958,2020,Indonesia,1980000000,3533000000,4053000,2918000,1059054842711.72,271857970.0
524,2018,Indonesia,13171000000,17915000000,15810000,9468000,1042271532953.36,267066843.0
523,2018,India,25790000000,29143000000,17423000,26296000,2702929639861.5,1369003306.0
89,2016,India,19184000000,23111000000,14570000,21872000,2294796889945.04,1338636340.0
740,2019,India,28595000000,31661000000,17914000,26915000,2835606242052.48,1383112050.0
306,2017,India,21856000000,27878000000,15543000,23943000,2651474263257.15,1354195680.0
738,2019,Hungary,3352000000,10225000000,61397000,24860000,164020460331.659,9771141.0
521,2018,Hungary,3239000000,9618000000,57667000,22805000,160565642983.587,9775564.0
304,2017,Hungary,3049000000,8448000000,54962000,20297000,143112196040.326,9787966.0
87,2016,Hungary,2738000000,7481000000,52890000,18895000,128609822750.039,9814023.0
955,2020,Hungary,1334000000,4224000000,31641000,12727000,157227094449.074,9750149.0
520,2018,"Hong Kong SAR, China",26498000000,42313000000,65148000,92214000,361731070995.726,7452600.0
303,2017,"Hong Kong SAR, China",25388000000,38170000000,58472000,91304000,341273289534.466,7393200.0
