,Year,Country Name,International Tourism Expenditures (US$),International Tourism Receipts (US$),# of arrivals,# of departures,GDP (US$),Total Population
250,2017,Cambodia,919000000,4024000000,5602000,1752000,22177200588.6749,15830689.0
467,2018,Cambodia,1080000000,4832000000,6201000,1995000,24571753581.7841,16025238.0
33,2016,Cambodia,762000000,3523000000,5012000,1434000,20016747858.3122,15624584.0
901,2020,Cambodia,213000000,1119000000,1306000,326000,25872797892.0285,16396860.0
684,2019,Cambodia,1162000000,5312000000,6611000,2038000,27089390032.8915,16207746.0
680,2019,Bulgaria,2196000000,4832000000,12552000,7007000,68911930627.8977,6975761.0
897,2020,Bulgaria,1263000000,1792000000,4973000,3973000,70404359049.232,6934015.0
29,2016,Bulgaria,1636000000,4148000000,10604000,5392000,53987487124.3421,7127822.0
246,2017,Bulgaria,2047000000,4663000000,11596000,6228000,59343060705.828,7075947.0
463,2018,Bulgaria,2247000000,5061000000,12368000,6699000,66399602077.1693,7025037.0
26,2016,Brazil,17068000000,6613000000,6547000,8872000,1795693265824.27,206859578.0
460,2018,Brazil,22229000000,6324000000,6621000,10628000,1916933708404.16,210166592.0
243,2017,Brazil,22991000000,6175000000,6589000,10610000,2063514688761.67,208504960.0
457,2018,Bolivia,1009000000,948000000,1142000,1060000,40287647930.5355,11606905.0
23,2016,Bolivia,960000000,827000000,961000,940000,33941126193.9219,11263015.0
891,2020,Bolivia,325000000,243000000,323299.987792969,432000,36629843806.0781,11936162.0
240,2017,Bolivia,997000000,928000000,1109000,997000,37508642170.767,11435533.0
674,2019,Bolivia,1111000000,977000000,1239000,1160000,40895322850.9407,11777315.0
673,2019,Bhutan,67000000,120000000,316000,72000,2535655609.45889,767459.0
886,2020,Belgium,13928000000,7447000000,2584000,5850000,525213067068.319,11538604.0
452,2018,Belgium,20789000000,10319000000,9119000,13098000,543299066998.892,11427054.0
235,2017,Belgium,17835000000,9636000000,8385000,12142000,502764720556.358,11375158.0
669,2019,Belgium,20998000000,10581000000,9343000,14191000,535865692402.342,11488980.0
18,2016,Belgium,16522000000,8784000000,7481000,13372000,476062757356.94,11331422.0
451,2018,Belarus,1170000000,1221000000,11502000,9326000,60031163987.191,9438785.0
234,2017,Belarus,1082000000,1124500000,11060000,9209000,54725311690.0478,9458989.0
885,2020,Belarus,477000000,542000000,3598000,2810000,61371755326.2351,9379952.0
17,2016,Belarus,891000000,1019000000,10935000,8340000,47723549319.0842,9469379.0
668,2019,Belarus,1224500000,1290000000,11832000,9221000,64410112583.362,9419758.0
231,2017,Bahrain,3178000000,4380000000,11374000,3136000,35473776595.7447,1456834.0
14,2016,Bahrain,3267000000,4021000000,10158000,3293000,32234973404.2553,1409661.0
665,2019,Bahrain,2637000000,3860000000,11061000,2950000,38653318085.1064,1494188.0
448,2018,Bahrain,2522000000,3834000000,12045000,2868000,37802005319.1489,1487340.0
446,2018,Azerbaijan,2453000000,2830000000,2850000,4908000,47112479289.4186,9939771.0
12,2016,Azerbaijan,2593000000,2855000000,2249000,4282000,37867007022.7844,9757812.0
229,2017,Azerbaijan,2803000000,3214000000,2697000,4109000,40866632047.8414,9854033.0
663,2019,Azerbaijan,1839000000,2004099975.58594,3170000,5568000,48174235294.1176,10024283.0
880,2020,Azerbaijan,439000000,340000000,796000,1165000,42693000000,10093121.0
11,2016,Austria,11634000000,20965000000,28121000,11534000,395837353031.51,8736668.0
445,2018,Austria,14109000000,25413000000,30816000,11043000,454991174096.094,8840521.0
228,2017,Austria,12878000000,22424000000,29460000,11491000,417261151844.981,8797566.0
879,2020,Austria,5551000000,15362000000,15091000,3964000,435225238000.43,8916864.0
662,2019,Austria,13922000000,25924000000,31884000,11902000,444621176100.54,8879920.0
661,2019,Australia,41345000000,47953000000,9466000,11624000,1392218527563.26,25340217.0
227,2017,Australia,39710000000,43975000000,8815000,10932000,1326467487376.42,24594202.0
878,2020,Australia,7654000000,26234000000,1828000,2832000,1326944627876.87,25655289.0
444,2018,Australia,42439000000,47327000000,9246000,11403000,1428266513154.48,24966643.0
10,2016,Australia,35718000000,39059000000,8269000,10390000,1206562910556.58,24190907.0
659,2019,Armenia,1543000000,1553000000,1894000,1868000,13619290545.8131,2820602.0
442,2018,Armenia,1335000000,1358000000,1652000,1623000,12457940705.3088,2836557.0
225,2017,Armenia,1218000000,1224000000,1495000,1482000,11527458712.6187,2851923.0
8,2016,Armenia,1033000000,1037000000,1260000,1263000,10546136240.3952,2865835.0
876,2020,Armenia,330000000,303000000,375000,346000,12641698593.7908,2805608.0
441,2018,Argentina,13084000000,5999000000,6942000,18411000,524819898586.906,44494502.0
7,2016,Argentina,12273000000,5466000000,6668000,18645000,557532317363.451,43590368.0
658,2019,Argentina,9845000000,5654000000,7399000,15352000,447754686715.081,44938712.0
224,2017,Argentina,14180000000,5830000000,6711000,21583000,643628396190.388,44044811.0
219,2017,Algeria,632000000,171000000,2451000,5058000,170096989042.831,41136546.0
2,2016,Algeria,556000000,246000000,2039000,4530000,160034212613.438,40339329.0
653,2019,Algeria,670000000,140000000,2371000,5732000,171760290068.157,42705368.0
870,2020,Algeria,272000000,50000000,591000,1386000,145743722826.258,43451666.0
436,2018,Algeria,542000000,196500000,2657000,5610000,174910891124.491,41927007.0
1,2016,Albania,1338000000,1821000000,4736000,4852000,11861199830.8396,2876101.0
869,2020,Albania,805000000,1243000000,2658000,2907000,15162734205.2462,2837849.0
218,2017,Albania,1473000000,2050000000,5118000,5186000,13019726211.7369,2873457.0
652,2019,Albania,1852000000,2458000000,6406000,5922000,15401826080.5183,2854191.0
435,2018,Albania,1750000000,2306000000,5927000,5415000,15156424061.9815,2866376.0
