,Year,Country Name,International Tourism Expenditures (US$),International Tourism Receipts (US$),# of arrivals,GDP (US$),Total Population
459,2018,Botswana,278299987,584200012,1830000,17031943186,2451409
25,2016,Botswana,237100006,505000000,1712000,15082636722,2352416
242,2017,Botswana,253300003,542010009,1775000,16105156375,2401840
243,2017,Brazil,22991000000,6175000000,6589000,2063514688761,208504960
677,2019,Brazil,21178000000,6127000000,6353000,1873288159000,211782878
26,2016,Brazil,17068000000,6613000000,6547000,1795693265824,206859578
460,2018,Brazil,22229000000,6324000000,6621000,1916933708404,210166592
245,2017,Brunei Darussalam,504000000,177000000,4316000,12128182463,430276
28,2016,Brunei Darussalam,499000000,144000000,4257000,11400467372,425994
462,2018,Brunei Darussalam,585000000,190000000,4521000,13567164444,434274
463,2018,Bulgaria,2247000000,5061000000,12368000,66399602077,7025037
897,2020,Bulgaria,1263000000,1792000000,4973000,70404359049,6934015
246,2017,Bulgaria,2047000000,4663000000,11596000,59343060705,7075947
29,2016,Bulgaria,1636000000,4148000000,10604000,53987487124,7127822
680,2019,Bulgaria,2196000000,4832000000,12552000,68911930627,6975761
247,2017,Burkina Faso,182000000,172000000,143000,14106955625,19835858
464,2018,Burkina Faso,191000000,179000000,144000,15890066209,20392723
30,2016,Burkina Faso,176000000,172000000,152000,12833363043,19275498
681,2019,Burkina Faso,185199996,173000000,143000,16178161666,20951639
466,2018,Cabo Verde,112000000,520000000,710000,2205099509,571202
32,2016,Cabo Verde,79000000,397000000,598000,1849789992,558394
249,2017,Cabo Verde,100000000,451000000,668000,1996741544,564954
900,2020,Cabo Verde,59000000,169000000,180000,1878277311,582640
683,2019,Cabo Verde,107000000,567000000,758000,2266752197,577030
250,2017,Cambodia,919000000,4024000000,5602000,22177200588,15830689
467,2018,Cambodia,1080000000,4832000000,6201000,24571753581,16025238
684,2019,Cambodia,1162000000,5312000000,6611000,27089390032,16207746
901,2020,Cambodia,213000000,1119000000,1306000,25872797892,16396860
33,2016,Cambodia,762000000,3523000000,5012000,20016747858,15624584
251,2017,Cameroon,845000000,544000000,1081000,36098547058,24393181
34,2016,Cameroon,818000000,508000000,994000,33814337040,23711630
468,2018,Cameroon,915000000,633000000,997000,39973842058,25076747
685,2019,Cameroon,984000000,681000000,1021000,39670976440,25782341
687,2019,Cayman Islands,299000000,964000000,2334000,5941896599,66134
