,Year,Country Name,International Tourism Expenditures (US$),International Tourism Receipts (US$),# of arrivals,GDP (US$),Total Population
353,2017,Namibia,92000000,449000000,1581000,12895153160,2364534
570,2018,Namibia,69000000,488000000,1639000,13682019171,2405680
789,2019,Nepal,713000000,801000000,1197000,34186180694,28832496
1006,2020,Nepal,267000000,238000000,230000,33433659223,29348627
355,2017,Nepal,886000000,712000000,940000,28971588880,28183426
138,2016,Nepal,634000000,498000000,753000,24524109484,27861186
572,2018,Nepal,915000000,740000000,1173000,33111525182,28506712
573,2018,Netherlands,23359300781,23919099609,18780000,914043438179,17231624
356,2017,Netherlands,22301099609,21844699218,17924000,833869641687,17131296
1007,2020,Netherlands,7435700195,10926200195,7265000,909793466661,17441500
139,2016,Netherlands,20188800781,19421800781,15828000,784060430240,17030314
790,2019,Netherlands,22547400390,23723900390,20129000,910194347568,17344874
140,2016,New Caledonia,252000000,248000000,116000,8724568970,270220
141,2016,New Zealand,4010000000,9773000000,3494000,188838342527,4714100
358,2017,New Zealand,4463000000,10594000000,3723000,206556258844,4813600
575,2018,New Zealand,4603000000,10961000000,3858000,211886686924,4900600
577,2018,Niger,141000000,114000000,157000,12808661487,22577058
794,2019,Niger,144500000,130000000,192000,12916454870,23443393
143,2016,Niger,110000000,84000000,152000,10398861980,20921743
360,2017,Niger,120000000,91000000,164000,11185101444,21737922
144,2016,Nigeria,4524000000,1088000000,5265000,404649048648,188666931
145,2016,North Macedonia,204000000,283000000,510000,10672467073,2072490
579,2018,North Macedonia,282000000,387000000,707000,12683068033,2076217
362,2017,North Macedonia,233000000,331000000,631000,11307067000,2074502
1013,2020,North Macedonia,153000000,253000000,118000,12363580534,2072531
796,2019,North Macedonia,302000000,401000000,758000,12606338448,2076694
798,2019,Norway,17683000000,7040000000,5879000,408742840909,5347896
581,2018,Norway,18307000000,7280000000,5688000,439788625883,5311916
1015,2020,Norway,4230000000,2196000000,1397000,367633418886,5379475
364,2017,Norway,17489000000,6565000000,6252000,401745275035,5276968
147,2016,Norway,16384000000,6285000000,5960000,370956547619,5234519
365,2017,Oman,2915000000,2629000000,3178000,80856697009,4541854
582,2018,Oman,3210000000,2874000000,3242000,91505851755,4601157
1016,2020,Oman,1236000000,669000000,869000,75909397659,4543399
148,2016,Oman,2643000000,2324000000,3207000,75128738621,4398070
799,2019,Oman,3406000000,3077000000,3506000,88060858257,4602768
150,2016,Palau,23799999,148000000,138000,298300000,17816
367,2017,Palau,23299999,123000000,123000,285600000,17837
368,2017,Panama,1132000000,6827000000,2517000,62202700000,4096063
1019,2020,Panama,601000000,1841000000,647000,57086836942,4294396
151,2016,Panama,1351000000,6283000000,2379000,57907700000,4026336
585,2018,Panama,1395000000,7139000000,2487000,67294169234,4165255
802,2019,Panama,1623000000,7052000000,2494000,69721787532,4232532
152,2016,Papua New Guinea,126599998,1600000,198000,20758874952,8899169
369,2017,Papua New Guinea,168600006,15260000,182000,22742696407,9114796
586,2018,Papua New Guinea,134000000,4230000,195000,24109780113,9329227
1021,2020,Paraguay,226000000,104000000,1077000,35432177936,6618695
370,2017,Paraguay,545000000,399000000,4744000,38997129809,6355404
804,2019,Paraguay,552000000,409000000,4368000,37925338460,6530026
153,2016,Paraguay,512000000,356000000,4318000,36089550671,6266615
587,2018,Paraguay,549000000,393000000,4183000,40225448651,6443328
805,2019,Peru,3627399902,4703000000,5275000,228325852220,32824861
154,2016,Peru,2700000000,4288000000,4718000,191898127860,31132779
371,2017,Peru,2893000000,4439000000,4992000,211007952315,31605486
1022,2020,Peru,938000000,1002000000,1119000,201947603715,33304756
588,2018,Peru,3353000000,4505000000,5384000,222597030191,32203944
1023,2020,Philippines,4872000000,2769000000,1483000,361751145432,112190977
155,2016,Philippines,11681000000,6289000000,5967000,318627003965,104875266
806,2019,Philippines,12926000000,11455000000,8261000,376823404772,110380804
589,2018,Philippines,12474000000,9715000000,7168000,346841896890,108568836
372,2017,Philippines,12442000000,8349000000,6621000,328480738147,106738501
807,2019,Poland,10161000000,15712000000,88515000,596058473058,37965475
373,2017,Poland,9420000000,13925000000,83804000,524641206562,37974826
590,2018,Poland,10367000000,15569000000,85946000,588779850763,37974750
156,2016,Poland,8509000000,11922000000,80476000,470024559638,37970087
808,2019,Portugal,6823000000,24592000000,17283000,239986922638,10286263
374,2017,Portugal,5509000000,21586000000,15432000,221357874718,10300300
1025,2020,Portugal,3536000000,10522000000,4208000,229031860520,10297081
157,2016,Portugal,4707000000,17347000000,13359000,206426152308,10325452
591,2018,Portugal,6427000000,24366000000,16186000,242313116577,10283822
592,2018,Puerto Rico,893000000,3303000000,4260000,100958100000,3193354
375,2017,Puerto Rico,1072000000,3868000000,4927000,103445500000,3325286
158,2016,Puerto Rico,1059000000,3974000000,5003000,104336700000,3406672
593,2018,Qatar,11754000000,15239000000,1819000,183334953818,2766732
376,2017,Qatar,12284000000,15757000000,2256000,161099122225,2711755
810,2019,Qatar,12528000000,15647000000,2136500,176371267689,2807235
1027,2020,Qatar,11504000000,14318000000,582000,144411363345,2760385
159,2016,Qatar,13152000000,12593000000,2938000,151732181868,2595166
377,2017,Romania,4955000000,3553000000,10926000,210147181055,19588715
811,2019,Romania,7172000000,4240000000,12815000,251017797625,19371648
1028,2020,Romania,3472000000,1611000000,5023000,251362534092,19265250
594,2018,Romania,6109000000,3879000000,11720000,243316050520,19473970
160,2016,Romania,2910000000,2474000000,10223000,185287615324,19702267
812,2019,Russian Federation,40611000000,17235000000,24419000,1693114993990,144406261
1029,2020,Russian Federation,10800000000,4961000000,6359000,1493075887459,144073139
378,2017,Russian Federation,35584000000,14938000000,24390000,1574199355092,144496739
595,2018,Russian Federation,38791000000,18735000000,24551000,1657328764645,144477859
161,2016,Russian Federation,27654000000,12822000000,24571000,1276786344534,144342397
162,2016,Rwanda,364000000,443000000,1377000,8695318854,11930899
813,2019,Rwanda,382799987,635900024,1634000,10346675636,12835028
379,2017,Rwanda,419000000,496500000,1570000,9252833678,12230339
596,2018,Rwanda,390000000,547000000,1711000,9636510839,12531808
1031,2020,Samoa,1799999,23059999,23899,868898350,214929
814,2019,Samoa,5199999,206100006,181000,912950619,211905
163,2016,Samoa,2099999,148699996,146000,843924750,205544
380,2017,Samoa,3900000,167000000,158000,884844419,207630
597,2018,Samoa,4099999,192300003,172000,878448439,209701
383,2017,Saudi Arabia,19065000000,15020000000,18607000,714994694991,34193122
817,2019,Saudi Arabia,16415000000,19849000000,20292000,838564705624,35827362
600,2018,Saudi Arabia,17939000000,16974000000,17570000,846583785179,35018133
166,2016,Saudi Arabia,17671000000,13438000000,20887000,665999879694,33416270
167,2016,Senegal,277000000,439000000,1219000,19040312331,14751356
384,2017,Senegal,295000000,470000000,1376000,20996562958,15157793
1036,2020,Serbia,1179000000,1422000000,446000,53356484763,6899126
819,2019,Serbia,2000000000,2000000000,1847000,51514242775,6945235
385,2017,Serbia,1549000000,1706000000,1497000,44179075778,7020858
168,2016,Serbia,1351000000,1461000000,1281000,40692661657,7058322
602,2018,Serbia,1837000000,1941000000,1711000,50640662859,6982604
1037,2020,Seychelles,39000000,228000000,124500,1183515397,98462
386,2017,Seychelles,104000000,585000000,382000,1529773286,95843
603,2018,Seychelles,101000000,611000000,405000,1587813245,96762
169,2016,Seychelles,92000000,505000000,333000,1458954109,94677
820,2019,Seychelles,109000000,618000000,428000,1645090567,97625
604,2018,Sierra Leone,61000000,39000000,66000,4085114542,7861281
387,2017,Sierra Leone,62000000,39000000,59000,3719443317,7677565
170,2016,Sierra Leone,36500000,41000000,60000,3862721204,7493913
605,2018,Singapore,25346000000,20416000000,18508000,376869585632,5638676
171,2016,Singapore,23957000000,18944000000,16403000,319029973659,5607283
388,2017,Singapore,24588000000,19891000000,17425000,343272878686,5612253
172,2016,Sint Maarten (Dutch part),114000000,871000000,2197000,1263687150,39969
606,2018,Sint Maarten (Dutch part),77000000,468000000,1775000,1185474860,40895
823,2019,Sint Maarten (Dutch part),77000000,708000000,1952000,1459776536,41608
389,2017,Sint Maarten (Dutch part),100000000,646000000,1640000,1191620111,40574
173,2016,Slovak Republic,2420000000,2812000000,17376000,89952699524,5430798
607,2018,Slovak Republic,2823000000,3318000000,15299000,106137924015,5446771
390,2017,Slovak Republic,2599000000,3024000000,15406000,95649966260,5439232
174,2016,Slovenia,1483800048,2717899902,3397000,44766722790,2065042
608,2018,Slovenia,1864300048,3377500000,4425000,54177882425,2073894
825,2019,Slovenia,1771699951,3353100097,4702000,54331588482,2088385
1042,2020,Slovenia,855799987,1418000000,1216000,53706800043,2102419
391,2017,Slovenia,1641099975,3055100097,3991000,48589100043,2066388
826,2019,Solomon Islands,62500000,82000000,28899,1619154958,674993
175,2016,Solomon Islands,74900001,71000000,23200,1379490315,628102
609,2018,Solomon Islands,53000000,92000000,27899,1615478421,659249
392,2017,Solomon Islands,72699996,79000000,25700,1469789050,643634
1043,2020,Solomon Islands,30909999,7000000,4400,1536145831,691191
611,2018,South Africa,6348000000,9789000000,15004000,404158882459,57339635
177,2016,South Africa,5354000000,8807000000,15121000,323585509674,56422274
1045,2020,South Africa,1594000000,2716000000,3886600,337619569570,58801927
394,2017,South Africa,6068000000,9706000000,14975000,381448814653,56641209
828,2019,South Africa,5866000000,9064000000,14797000,388531226582,58087055
1048,2020,Sri Lanka,803000000,1076000000,540000,84440535698,21919000
831,2019,Sri Lanka,2436000000,4663000000,2027000,89014978319,21803000
397,2017,Sri Lanka,2409000000,5083000000,2248000,94376237831,21506813
180,2016,Sri Lanka,2295000000,4591000000,2168000,88012281909,21425494
614,2018,Sri Lanka,2487000000,5608000000,2521000,94493871351,21670000
398,2017,St. Kitts and Nevis,56000000,355000000,1194000,1058944444,47785
615,2018,St. Kitts and Nevis,56000000,367000000,1278000,1076922222,47761
181,2016,St. Kitts and Nevis,51000000,332000000,1055000,1008100000,47788
182,2016,St. Lucia,78000000,776000000,948000,1865444444,176413
399,2017,St. Lucia,84000000,875000000,1064000,1996703703,177163
616,2018,St. Lucia,85000000,989000000,1165000,2057074074,177888
401,2017,St. Vincent and the Grenadines,38000000,215399993,303000,844039068,105549
835,2019,St. Vincent and the Grenadines,40000000,255000000,392000,910765709,104924
184,2016,St. Vincent and the Grenadines,41000000,221300003,227000,814302267,105963
618,2018,St. Vincent and the Grenadines,40000000,231000000,356000,884328180,105281
185,2016,Sudan,203000000,1009000000,800000,102943515502,39377169
402,2017,Sudan,29000000,1029000000,813000,129718581297,40679828
619,2018,Sudan,13000000,1043000000,836000,32333780383,41999059
403,2017,Suriname,99000000,61000000,279000,3591679371,587559
186,2016,Suriname,112000000,74000000,257000,3317421499,581453
188,2016,Switzerland,19941000000,19787000000,10402000,687895460902,8373338
405,2017,Switzerland,21501000000,20399000000,11133000,695200833086,8451840
622,2018,Switzerland,21441000000,21294000000,11715000,725562534363,8514329
839,2019,Switzerland,21097000000,21257000000,11818000,721369112726,8575280
407,2017,Tajikistan,15100000,171600006,431000,7536403146,8925525
624,2018,Tajikistan,24200000,170899993,1035000,7765000282,9128132
190,2016,Tajikistan,24600000,149600006,344000,6992416096,8725318
408,2017,Tanzania,873000000,2265000000,1327000,53275968094,56267032
842,2019,Tanzania,738200012,2624500000,1527000,61026765850,59872579
191,2016,Tanzania,992000000,2149000000,1284000,49774004999,54401802
625,2018,Tanzania,818000000,2465000000,1506000,57003686049,58090443
843,2019,Thailand,14969000000,64371000000,39916000,543976695638,71307763
626,2018,Thailand,14406000000,61383000000,38178000,506754212432,71127802
409,2017,Thailand,12676000000,57057000000,35592000,456356812774,70898202
192,2016,Thailand,11267000000,48459000000,32530000,413366345843,70607037
193,2016,Timor-Leste,118000000,58000000,65599,1650619400,1224562
627,2018,Timor-Leste,131000000,78000000,74599,1563887900,1261845
410,2017,Timor-Leste,137000000,73000000,73900,1595724300,1243235
845,2019,Togo,61000000,264000000,876000,6992656428,8243094
628,2018,Togo,65000000,269000000,573000,7029217931,8046679
411,2017,Togo,57000000,245000000,514000,6395472028,7852795
194,2016,Togo,55000000,223000000,338000,6031632014,7661354
846,2019,Tonga,44000000,57099998,94000,512053639,104951
629,2018,Tonga,41200000,48099998,77300,488906860,105150
412,2017,Tonga,37700000,48500000,86599,460374252,105415
195,2016,Tonga,23799999,52700000,86699,420548768,105707
630,2018,Trinidad and Tobago,149000000,541000000,501000,24322359037,1504709
413,2017,Trinidad and Tobago,147000000,717000000,465000,23797686961,1478607
1064,2020,Trinidad and Tobago,42000000,151000000,141000,21059428846,1518147
196,2016,Trinidad and Tobago,230000000,708000000,492000,23496215880,1469330
847,2019,Trinidad and Tobago,133000000,481000000,480000,23849557811,1519955
414,2017,Tunisia,871000000,1782000000,7052000,42163530590,11811443
1065,2020,Tunisia,407000000,1007000000,2012000,42538462678,12161723
197,2016,Tunisia,823000000,1706000000,5724000,44360065796,11685667
848,2019,Tunisia,889000000,2683000000,9429000,41905637658,12049314
631,2018,Tunisia,954000000,2320000000,8299000,42686509835,11933041
849,2019,Turkiye,5354000000,41415000000,51747000,759934804372,83481684
1066,2020,Turkiye,1639000000,13771000000,15971000,720288811761,84135428
632,2018,Turkiye,6068000000,36791000000,46113000,778476714087,82809304
198,2016,Turkiye,5698000000,26505000000,30907000,869682954136,81019394
415,2017,Turkiye,5865000000,31993000000,37970000,858988578709,82089826
853,2019,Uganda,596000000,1400000000,1543000,35348155092,42949080
202,2016,Uganda,309000000,1118000000,1323000,29203988697,38748299
419,2017,Uganda,365000000,954000000,1402000,30744473839,40127085
636,2018,Uganda,497000000,1522000000,1506000,32927025621,41515395
1070,2020,Uganda,268000000,518000000,473000,37605430214,44404611
203,2016,Ukraine,6306000000,1723000000,13734000,93355868977,45004673
420,2017,Ukraine,7536000000,2019000000,14579000,112090503817,44831135
854,2019,Ukraine,8907000000,2595000000,13710000,153883045524,44386203
1071,2020,Ukraine,4823000000,687000000,3382000,156617719786,44132049
637,2018,Ukraine,8287000000,2269000000,14342000,130891086689,44622518
1072,2020,United Arab Emirates,15085000000,24615400390,8084000,349473015330,9287289
204,2016,United Arab Emirates,17127259765,28657400390,20894000,369255326235,8994263
855,2019,United Arab Emirates,18382000000,38413300781,25282000,417989721742,9211657
421,2017,United Arab Emirates,17644699218,29705500000,21805000,390516804029,9068296
638,2018,United Arab Emirates,18004099609,34609500000,23092000,427049432157,9140169
423,2017,United States,158287000000,233758000000,174291750,19477336549000,325122128
857,2019,United States,186079000000,239447000000,165478000,21380976119000,328329953
1074,2020,United States,48837000000,84205000000,45037000,21060473613000,331511512
640,2018,United States,176818000000,241984000000,169324921,20533057312000,326838199
206,2016,United States,147640000000,228549000000,175261484,18695110842000,323071755
207,2016,Uruguay,1079000000,2396000000,3632000,57480788380,3413766
858,2019,Uruguay,1424000000,2335000000,3480000,62048585618,3428409
641,2018,Uruguay,1252000000,2708000000,3954000,65203071110,3427042
424,2017,Uruguay,1222000000,2924000000,4219000,65006047680,3422200
859,2019,Uzbekistan,2753000000,1679000000,6749000,60283503705,33580350
642,2018,Uzbekistan,2722000000,1314000000,5346000,52870108217,32956100
425,2017,Uzbekistan,2107000000,835000000,2690000,62081322741,32388600
208,2016,Uzbekistan,1832000000,579000000,2027000,86138288633,31847900
426,2017,Vanuatu,19000000,289000000,332700,880061830,290239
1077,2020,Vanuatu,22000000,67000000,82400,909421043,311685
643,2018,Vanuatu,21000000,325000000,350200,914736985,297298
860,2019,Vanuatu,32000000,295000000,256000,936526267,304404
209,2016,Vanuatu,28000000,275000000,351600,780889605,283218
428,2017,Vietnam,5040000000,8890000000,12922000,281353626107,94033048
645,2018,Vietnam,5910000000,10080000000,15498000,310106472642,94914330
1079,2020,Vietnam,4360000000,3232000000,3837000,346615750166,96648685
862,2019,Vietnam,6460000000,11830000000,18009000,334365257920,95776716
211,2016,Vietnam,4500000000,8500000000,10013000,257096001174,93126529
430,2017,West Bank and Gaza,813000000,225000000,503000,16128000000,4454805
647,2018,West Bank and Gaza,826000000,245000000,606000,16276600000,4569087
213,2016,West Bank and Gaza,620000000,235000000,400000,15405400000,4367088
650,2018,Zimbabwe,269000000,191000000,2580000,34156069918,15052184
433,2017,Zimbabwe,337000000,158000000,2423000,17584890936,14751101
216,2016,Zimbabwe,406000000,194000000,2168000,20548678100,14452704
867,2019,Zimbabwe,257000000,285000000,2294000,21832234925,15354608
1084,2020,Zimbabwe,157000000,66000000,639000,21509698406,15669666
