,Country Name,Year,GDP per Capita
534,Dominica,2017,7299
533,Dominica,2018,7745
532,Dominica,2019,8516
531,Dominica,2020,7004
434,Dominican Republic,2017,7609
433,Dominican Republic,2018,8051
432,Dominican Republic,2019,8282
431,Dominican Republic,2020,7268
428,Ecuador,2017,6214
426,Ecuador,2018,6296
424,Ecuador,2019,6223
422,Ecuador,2020,5628
238,Egypt,2017,2444
236,Egypt,2018,2537
234,Egypt,2019,3019
232,Egypt,2020,3569
623,El Salvador,2017,3910
621,El Salvador,2018,4053
619,El Salvador,2019,4168
617,El Salvador,2020,3799
519,Equatorial Guinea,2017,9668
518,Equatorial Guinea,2018,10006
517,Equatorial Guinea,2019,8381
516,Equatorial Guinea,2020,7198
249,Estonia,2017,20438
248,Estonia,2018,23064
247,Estonia,2019,23398
246,Estonia,2020,23054
729,Eswatini,2017,3914
728,Eswatini,2018,4107
727,Eswatini,2019,3890
726,Eswatini,2020,3435
409,Ethiopia,2017,769
408,Ethiopia,2018,772
407,Ethiopia,2019,856
406,Ethiopia,2020,936
924,Faroe Islands,2017,61455
923,Faroe Islands,2018,65573
922,Faroe Islands,2019,67154
921,Faroe Islands,2020,66321
634,Fiji,2017,6101
632,Fiji,2018,6317
630,Fiji,2019,6176
628,Fiji,2020,5103
129,Finland,2017,46412
127,Finland,2018,49989
125,Finland,2019,48629
123,Finland,2020,49161
64,France,2017,38781
63,France,2018,41593
62,France,2019,40579
61,France,2020,39037
939,French Polynesia,2017,21127
938,French Polynesia,2018,22095
937,French Polynesia,2019,21512
936,French Polynesia,2020,20183
524,Gabon,2017,7230
523,Gabon,2018,7959
522,Gabon,2019,7767
521,Gabon,2020,6882
894,Gambia,2017,680
893,Gambia,2018,733
892,Gambia,2019,773
891,Gambia,2020,757
644,Georgia,2017,4357
642,Georgia,2018,4722
640,Georgia,2019,4696
638,Georgia,2020,4256
38,Germany,2017,44653
36,Germany,2018,47974
34,Germany,2019,46795
32,Germany,2020,46253
459,Ghana,2017,2074
458,Ghana,2018,2261
457,Ghana,2019,2247
456,Ghana,2020,2254
324,Greece,2017,18582
322,Greece,2018,19757
320,Greece,2019,19134
318,Greece,2020,17647
974,Greenland,2017,50767
973,Greenland,2018,54545
972,Greenland,2019,53256
971,Greenland,2020,54570
454,Grenada,2017,10153
453,Grenada,2018,10467
452,Grenada,2019,10834
451,Grenada,2020,9273
1009,Guam,2017,36602
1008,Guam,2018,36557
1007,Guam,2019,38041
1006,Guam,2020,34624
444,Guatemala,2017,4454
443,Guatemala,2018,4478
442,Guatemala,2019,4639
441,Guatemala,2020,4603
764,Guinea,2017,856
763,Guinea,2018,955
762,Guinea,2019,1053
761,Guinea,2020,1079
899,Guinea-Bissau,2017,739
898,Guinea-Bissau,2018,803
897,Guinea-Bissau,2019,749
896,Guinea-Bissau,2020,728
484,Guyana,2017,6125
482,Guyana,2018,6146
480,Guyana,2019,6610
478,Guyana,2020,6956
708,Haiti,2017,1369
706,Haiti,2018,1479
704,Haiti,2019,1313
702,Haiti,2020,1272
633,Honduras,2017,2454
631,Honduras,2018,2510
629,Honduras,2019,2574
627,Honduras,2020,2406
169,Hong Kong,2017,46160
168,Hong Kong,2018,48538
167,Hong Kong,2019,48356
166,Hong Kong,2020,46101
329,Hungary,2017,14624
328,Hungary,2018,16427
327,Hungary,2019,16736
326,Hungary,2020,16076
74,Iceland,2017,72010
72,Iceland,2018,74470
70,Iceland,2019,68941
68,Iceland,2020,59264
58,India,2017,1981
56,India,2018,1998
